"","categorie","intitule_offre","description_offre"
"15","DATA ANALYST"," DATA ANALYST H/F","Aktisea est mandatée par les Missions Handicap des entreprises pour recruter leurs futurs talents.

Dans ce cadre, nous accompagnons particulièrement les candidats en situation de handicap dans leur processus de recrutement.

Nous recherchons pour le compte de notre client, spécialisé dans le domaine du commerce en ligne , un Data Analyst (H/F).

Ce poste est à pourvoir à Bordeaux.

Venez rendre possible l'accès aux biens et aux services au plus grand nombre en construisant une économie du numérique européenne, inclusive et responsable.

Rattaché à la Direction Data, vous rejoindrez une équipe de data scientists et data analysts dynamique et passionnée. Les équipes data sont garantes de l'avance innovatrice sur les concurrents, participent à la diffusion de la culture data au sein de notre client, tissent des liens avec le monde académique et exercent une veille active sur l'état de l'art des modèles mathématiques et des nouvelles technologies.

Plus précisément vos missions seront de :

Réaliser des analyses statistiques et exploratoires
Construire des dashboards de suivi des performances permettant la prise de décision efficace pour le business
Participer à la définition, à la mise en place et à l'analyse des tests A/B menés sur votre domaine d'intervention
Mener des études approfondies afin de mieux connaître nos clients, notre offre,   (en fonction de votre périmètre) et en proposer des modèles.
Les data analysts éclairent par leurs analyses quantitatives les décisions de l'entreprise. Ils sont sollicités sur des questions impactantes pour l'activité, par exemple : Quels sont les facteurs explicatifs du rachat ? Quel est l'impact de la qualité d'une fiche produit sur la conversion ? Quelle est l'influence de la météo sur la fréquentation du site ?

En rejoignant la direction data vous aurez la possibilité d'intervenir sur toute la variété des métiers proposés par un e-commerçant : marketing client, trafic, recouvrement, offre, merchandising, market place

PROFIL RECHERCHÉ
Issu(e) d'une école d'ingénieur ou équivalent en statistiques ou mathématiques appliquées, vous êtes débutant ou bénéficiez d'une expérience de quelques années dans le domaine de l'analyse de données, idéalement dans le secteur internet.

Vous avez des compétences avancées en statistiques, maîtrisez les bases de données de type SQL et les langages de programmation (de préférence Python ou R).

Vous avez de bonnes capacités de communication et vous savez travailler en équipe.

Grâce à vos qualités relationnelles, le travail en équipe n'a pas de secret pour vous. Vos capacités d'adaptation et votre réactivité vous permettent d'évoluer dans un environnement en constant changement.

Rejoindre notre client, c'est intégrer une entreprise engagée et inclusive qui lutte contre toute forme de discrimination. Une opportunité d'exprimer ses talents et de révéler sa singularité.

Vous êtes persuadé que l'avenir appartient à celles et ceux qui osent faire bouger les lignes ? Nous aussi. Alors, Inventez-tout, Révélez-vous !"
"16","DATA ANALYST","DATA ANALYST    (H/F)","En tant que Data Analyst , vous serez en charge de :

- Formaliser les cas d'usages,
- Concevoir et mettre en œuvre des plateformes basées sur des technologies Big Data,
- Installer et déployer des clusters logiciels,
- Concevoir et mettre en œuvre des flux d'intégration de données,
- Optimiser la performance et la qualité logicielle,
- Mettre en œuvre la stratégie d'exploitation des plateformes Big Data (gestion des sauvegardes, - procédures de récupération des données, mises à jour et montées de version logicielles, ),
- Préconiser des outils et/ou technologies adaptés."
"17","DATA ENGINEER","POEI DATA ENGINEER  SPARKE (H/F)","Vous êtes demandeur d'emploi et vivement intéressé par les métiers de l'IT ? Rejoignez Inetum en intégrant une formation d'une durée de 3 mois environ afin d'acquérir les compétences clés qui vous ouvriront la possibilité de démarrer votre carrière professionnelle au sein d'un grand groupe et dans un métier en plein essor.

Après une période de formation chez notre partenaire ORSYS (formation qui démarrera le 3 Janvier 2022) et une incubation sur projet pendant 1 mois (inséré dans votre parcours de formation), vous rejoindrez, en CDI, notre Business Line Application Services Ile-de-France, sur un poste de Data Engineer. Les compétences acquises durant cette formation vous permettront de participer à des projets ambitieux au sein de nos clients grands comptes et d'évoluer constamment sur les métiers de l'IT.

Les candidats retenus bénéficieront d'une formation intensive avec une spécialisation sur Sparke dans le cadre du dispositif POEI (Préparation Opérationnelle à l'Emploi Individualisée) avec le Pôle-Emploi avec une période d'incubation sur projet incluse dans cette période de formation.

Au sein de l'équipe Data, en tant que Data Engineer, vous participez à la réalisation de divers projets et vos missions sont :

Apporter votre connaissance en Big Data permettant la manipulation des données
Concevoir les plateformes permettant de traiter des volumes de données importants
Mettre en place des bases de données
Préparer le pipeline de données pour que les données déployées soient sécurisées et claires afin d'être analysées et transformées.
Vous souhaitez donner un autre tournant à votre carrière, et cette offre vous intéresse ? Envoyez-nous votre CV et lettre de motivation."
"18","DATA ANALYST","DATA ANALYST (H/F)","Dans le cadre de notre forte croissance, nous recherchons notre futur Data Analyst (H/F) en CDI. Au sein du pôle Tech, rattaché à un Lead Data avec une forte expérience e-commerce, vous rejoignez l'équipe tech et travaillez en collaboration avec une équipe multi-fonctions.
 
Vous aurez pour missions principales :
 
* Être responsable de la maintenance et du développement de notre datawarehouse, des outils de pipeline data ainsi que de la préparation des données
* Comprendre en autonomie les questions et problématiques des équipes métier sur des sujets business variés et complexes, définir les données à récupérer et proposer des analyses pertinentes et approfondies en collaboration avec votre équipe et les acteurs business
* Savoir restituer les analyses via des dashboards fiables et visuels (l'équipe utilise Looker), industrialiser l'utilisation de notre outil de Data Visualisation
* Être force de proposition pour déployer de nouveaux rapports/dashboards pertinents en collaboration avec les équipes partenaires métier
* Être garant de l'amélioration et la pérennisation des dashboards existants
* Travailler avec notre équipe CRM dans l'extraction des données de ciblage depuis notre outil de marketing
* Aider les équipes business dans le reporting récurrent sur les différents KPI métier

Compétences techniques requises :

* Une formation d'ingénieur généraliste ou informatique spécialisation BI/Data - Bac +3/5
* Plusieurs années d'expérience (5 ans minimum) en tant que Data Analyst dans un environnement BI/Data avec des compétences solides en SQL
* Plusieurs années d'expérience dans un contexte business e-commerce
* Compétences techniques requises :
- Capacité à optimiser des requêtes SQL complexes. Vous êtes force de proposition sur la mise en place et la préparation des données
- Bonne connaissance d'un outil de datawarehousing (idéalement Bigquery)
- Expertise sur un outil de Dashboarding (idéalement Looker) et appétit pour la Data Viz
- Maîtrise des techniques statistiques avancées
- Connaissance d'au moins un langage de programmation
- Plus : expérience dans le déploiement de stratégies de machine learning
 
 
Profil :
 
* Ouvert, rigoureux, autonome et méthodique afin de gérer de manière optimale les outils mis à votre disposition et respecter les deadlines de vos projets.
* Curieux, vous disposez d'un sens aigu de l'analyse afin de dégager des pistes d'optimisation. Vous aimez travailler en lien étroit avec les équipes métiers et savez être force de proposition.
* Être toujours en veille (technique et fonctionnelle) afin de proposer des solutions évolutives.
* Capacité à réagir vite, à anticiper les évolutions dans un contexte de forte croissance. Agile dans vos tâches au jour le jour.
* Vous travaillez en équipe et assurez une réussite collective des projets qui vous sont confiés.
  
Lieu de travail : 33000 BORDEAUX
Type de contrat : Contrat à durée indéterminée
Durée hebdomadaire de travail : 35H00 HEBDO
Poste à Pourvoir : Janvier 2022
Salaire mensuel : Rémunération selon expérience + Mutuelle prise en charge par l'employeur 
 
"
"19","DATA ENGINEER","DATA ENGINEER (H/F)","En lien avec le Data Architect, vous serez en charge de :

-         Développer les pipelines de transformation de la donnée sous Azure Data Factory depuis les sources internes ou externes et assurer leur maintenance quotidienne

-         Mettre en place et exécuter les règles de nettoyage, enrichissement, valorisation de la donnée

-         Mettre en place les moyens techniques permettant la bonne gouvernance des données (classification) et des référentiels (MDM)

 En lien avec l'ensemble des fonctions de l'entreprise : 

-         Proposer des pistes d'amélioration des usages métiers

-         Créer ou optimiser le paramétrage de rapports dans l'outil Power BI

-        Développer le modèle analytique Power BI

Les enjeux du poste :

-      Etendre les usages de la donnée de l'entreprise en la mettant à disposition au travers du Data Lake pour les Data Analyst ou au travers du reporting Power BI pour l'ensemble de l'entreprise

-         Assurer la bonne communication inter applicative des acteurs internes et externes du SI

 L'action du Data Engineer est déterminante à double titre :

-         Il fournit les outils analytiques permettant la bonne gestion de l'entreprise et la génération d'insight ayant un impact sur les choix stratégiques du groupe

-         Il assure le bon déroulement et maximise l'automatisation des processus métier"
"21","DATA ANALYST","DATA ANALYST   (H/F)","Talentissim recrute pour son client, un des leaders européens dans le secteur du digital, un (e) data analyst H/F.

Contrôler la qualité et la cohérence des données au sein du data model
Être l'interlocuteur privilégié des opérationnels et de la direction sur le data model, les dashboards et leur analyse
Être force de proposition dans la création de dashboards de suivi à destination des différents services du groupe et/ou de la direction
Être force de proposition et apporter des recommandations sur les vases de données et le data model à modifier
Assurer le suivi quotidien des KPI groupe via les dashboards existants et à venir
Analyser en profondeur les KPI groupe
Synthétiser et rendre accessible les informations pour les différents services du groupe et/ou de la direction

Organisé(e), rigoureux(se) et autonome dans votre travail, vous êtes une personne doté(e) d'un bon raisonnement et de fortes capacités d'analyses."
"22","DATA SCIENTIST","DATA SCIENTIST (H/F)","Présentation de l'entreprise :

Depuis plus de 30 ans, ISoft fournit une usine de Datascience basée sur l'Intelligence Artificielle et le Machine Learning. 

La technologie d'ISoft se distingue par ses capacités d'analyse en temps réel inégalées, combinées à une grande facilité d'utilisation tant pour les utilisateurs métier que pour les équipes informatiques. Avec une très grande expérience dans le Machine Learning et l'Intelligence Artificielle, ISoft a encapsulé des années de connaissances solides et éprouvées, permettant au secteur bancaire, aux télécommunications, aux compagnies d'assurance, aux organismes gouvernementaux et aux institutions européennes une gestion plus rapide et améliorée dans l'exploitation de leurs Datas.

Descriptif du poste :

Au sein de l'équipe R&D & Statistiques, vous serez en charge des modèles de lutte contre la fraude et des projets de R&D liés à la modélisation des évènements rares. Vous participerez également au développement et à l'amélioration de nos produits de Data Science.

Vous participerez à l'accompagnement et la formation de nos utilisateurs dans la mise en œuvre de leurs projets de Data Science tant d'un point de vue technique que méthodologique.

Poste à forte composante veille et R&D, vous serez chargé(e) du suivi de l'état de l'art scientifique et technologique en data science, en particulier dans le domaine de la modélisation d'évènements rares et de la lutte contre la fraude.

En tant qu'expert métier de la lutte contre la fraude, vous réaliserez une veille continue sur l'univers des paiements et de la lutte contre la fraude. Vous évaluerez, challengerez et implémenterez les dernières avancées sur ces sujets.

Vous interviendrez également sur des projets d'analyse de très gros jeux de données clients, et participerez aux présentations de nos travaux.

Laissant une part importante à la veille technologique et la recherche fondamentale, nous recherchons une personne souhaitant rejoindre une PME dynamique et prête à prendre en charge la mise en œuvre de projets de lutte contre la fraude, intéressée tant par les statistiques que les nouvelles technologies et le métier de la lutte contre la fraude.

Description du profil :


    De formation bac+5 ou doctorat, vous justifiez d'une expérience de 2 à 15 ans en statistiques
    La connaissance du monde des paiements et de la lutte contre la fraude serait un plus
    Dynamique, autonome et créatif, vous aimez gérer de bout en bout vos projets, travailler en équipe et partager vos réflexions
    Vous êtes méthodique et avez l'esprit analytique, vous savez prendre le recul vous permettant d'avoir une vision globale des solutions
    Vous savez anticiper et être force de proposition"
"23","DATA SCIENTIST","DATA SCIENTIST - ANALYSTE DE DONNÉES EN PRODUCTION (H/F)","Lieu : Lyon (69)
Type de contrat : Intérim de 6 mois
Début : Dès que possible
Profil : BAC +4/+5 informatique/statistiques/data sciences


DATA SCIENTIST - ANALYSTE DE DONNÉES EN PRODUCTION (F/H)
Vos missions : 

- Assurer la politique Qualité lors du suivi des tendances, le traitement de données et de la réalisation d'études
- Suivre régulièrement les données de production (paramètres procédés ou résultats de contrôle) et alerter en cas de dérive comprenant l'analyse des données et l'évaluation des tendances.
- S'assurer de la pertinence des données saisies dans les bases de données, et le cas échéant, prendre les mesures nécessaires pour les faire corriger
- Animer les réunions périodiques de suivi du procédé
- Gérer et améliorer la maitrise statistique des procédés
- Supporter les outils de traitement des données
- Réaliser les études statistiques de routine (capabilité, limites, tendances, PQR )
- Supporter les études statistiques site et MSAT
- Rédiger des rapports de synthèse et d'études
- Traiter et suivre les CAPA et Change Control associés
- Participer aux groupes multidisciplinaires dans le cadre des investigations
- Participer aux inspections et aux réponses aux agences de santé en tant qu'expert du procédé de fabrication et statistiques.
- Maintenir la documentation technique gérée par le MTS
- Piloter ou participer aux groupes multidisciplinaires des Etudes Techniques Approfondies (ETA):Expertise technique sur les sujets. Gestion transversale d'un groupe multidisciplinaire. 
- Participer activement à l'amélioration continue (LEAN, SMS)
Votre profil
- Bac +4/+ 5 informatique, statistiques, data sciences
- Connaissance impérative de Python, SAS, APEX
- 1ère expérience professionnelle dans le secteur de la production pharmaceutique

Votre rigueur, vos qualités relationnelles, votre curiosité et votre autonomie vous permettrons d'être un acteur important dans la réalisation des projets en cours. 
Convaincu-e que vous êtes la bonne personne pour ce poste ? Alors ne tardez plus, postulez au plus vite à cette annonce ! 
Contact : Christine VARENNES
Kelly s'engage dans l'insertion et l'accompagnement des personnes en situation de handicap

KELLY SCIENTIFIQUE - DES SCIENTIFIQUES, POUR DES SCIENTIFIQUES, PAR DES SCIENTIFIQUES.
Pour donner toutes ses chances à votre candidature, soumettez-nous votre CV via notre site https://www.kellyservices.fr/users/register/new/registration. Nous pourrons ainsi l'étudier rapidement et vous faire un retour dans les meilleurs délais. Par ailleurs, la création de votre espace personnel nous permet de suivre votre dossier et vous donne la possibilité d'être alerté de toutes nos offres.
"
"24","DATA ANALYST","DATA ANALYST (H/F)","Au sein de la direction communication de notre client, et intégré à l'équipe Marketing BtoB, dans le pôle digital vous
pilotez les projets digitaux de l'identification du besoin à la mise en place opérationnelle.
- Définir les améliorations et les évolutions des projets digitaux que vous pilotez : cadrage des besoins avec les
équipes métiers, benchmark et sélection de la solution, faire le lien avec la DSI, la conformité, le juridique...
- Rédiger des cahiers des charges et spécificités fonctionnelles validées par le métier
- Accompagner les améliorations fonctionnelles : UX et UI
- Etre garant de l'avancée des projets : depuis la prise de brief jusqu'à la mise en ligne
- Piloter et briefer agences digitales et les partenaires
- Assurer la recette fonctionnelle multi devices
- Participer aux évènements liés à vos projets
- Rester en veille sur les innovations digitales"
"25","DATA ENGINEER","DATA ENGINEER       (H/F)","Rejoignez une équipe pleine d'énergie dans un cadre mêlant bienveillance, passion et agilité.

Selon vos expériences, votre mission sera de :
- Définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions
- Effectuer des analyses fonctionnelles, rédiger les spécifications, retranscrire les besoins métiers en solutions techniques
- Concevoir et développer des pipelines de données
- Garantir la sécurité et l'intégrité des données
- Encadrer vos collègues dans le respect de la charge et du planning projet et transmettre votre expertise
- Être garant des solutions techniques mises en œuvre
- Être force de proposition sur les projets de la conception à la mise en production

Vous serez également amené à intervenir sur les sujets tels que : participation aux avant-ventes, mise en place de POC, accompagnement à la gestion de projet, missions de conseil et d'audit, d'expertise technique et d'optimisation sur tous nos clients Sud Ouest."
"26","DATA ENGINEER","DATA ENGINEER      (H/F)","Rejoignez une équipe pleine d'énergie dans un cadre mêlant bienveillance, passion et agilité.

Selon vos expériences, votre mission sera de :
- Définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions
- Effectuer des analyses fonctionnelles, rédiger les spécifications, retranscrire les besoins métiers en solutions techniques
- Concevoir et développer des pipelines de données
- Garantir la sécurité et l'intégrité des données
- Encadrer vos collègues dans le respect de la charge et du planning projet et transmettre votre expertise
- Être garant des solutions techniques mises en œuvre
- Être force de proposition sur les projets de la conception à la mise en production

Vous serez également amené à intervenir sur les sujets tels que : participation aux avant-ventes, mise en place de POC, accompagnement à la gestion de projet, missions de conseil et d'audit, d'expertise technique et d'optimisation auprès de clients."
"27","DATA ENGINEER","DATA ENGINEER - FULLREMOTE  (H/F)","Descriptif du poste
L'équipe Données de Swile est responsable de la monétisation des actifs de données. Nous le faisons de plusieurs façons, notamment en permettant une meilleure prise de décisions, en améliorant les opérations et les efficiences, en réduisant de façon mesurable les risques, en créant des produits de données et plus encore.
Pour ce faire, nous disposons d'une équipe multidisciplinaire composée d'ingénieurs en données, d'ingénieurs en analyse et d'analystes de données couvrant toute la chaîne de valeur des données, de l'ingestion des données à l'exploitation des données.
Les ingénieurs de données sont le pont entre les sources de données internes/externes et toute équipe qui cherche à prendre des décisions fondées sur les données. Nous sommes à la recherche d'un ingénieur principal en données.
Chez Swile, nous avons investi dans une pile de données moderne (Redshift, Stitch, Airflow, Looker, Metabase) pour nous soutenir dans notre mission. Et nous sommes toujours prêts à adopter de nouvelles technologies qui peuvent nous aider à mieux le faire.

Voici la pile de données en place aujourd'hui :

Extraction/charge : point / débit d'air
Entreposage : AWS S3 / Redshift / Snowflake
Transformation : DBT
BI : Looker / Metabase
Collaboration : Github

Votre mission :
Construire et maintenir une plateforme de données fiable qui permet d'ingérer et de rendre disponible une grande variété de données
Gérer les outils SAAS (tels que Stitch, Snowflake ) et contribuer à notre infrastructure K8S auto-hébergée (Airflow, consommateurs Kafka )
Créer une API interne qui sera utilisée pour nos utilisateurs finaux en collaboration avec différentes équipes (Innovation et Science des données)
Appliquer les meilleures pratiques d'ingénierie logicielle pour permettre une base de code croissante sans augmenter une dette technique (contrôle de version, tests, refactoring )
Faire des choix techniques éclairés au niveau de l'entreprise
Documenter le code et le processus pour permettre à toute l'équipe de partager les connaissances
Profil recherché
Notre culture correspondra à vos ambitions si vous êtes    
Un esprit d'équipe
Une orientation client née
Ambitieux et dynamique : au Swile, le ciel est la limite   
Autonome, organisé et résilient
Réactive dans un environnement rapide et agréable à travailler
Excellentes qualités relationnelles et éditoriales, avec une écoute exceptionnelle
Passionné et curieux : vous êtes constamment à l'affût et aimez interagir avec vos pairs  vous êtes dans un état d'apprentissage perpétuel #testandlearn 100% à l'aise avec Salesforce CRM, et d'autres outils comme Slack, Google Suite.

Le candidat idéal pour se joindre à l'équipe des données : 
Plus de 3 ans d'expérience en ingénierie des données
Excellente communication et capacité à transmettre des sujets complexes de manière simple
Expertise en programmation en Python et SQL, bonne connaissance de Git/Shell/Docker
Bonne appropriation et hiérarchisation des sujets
Expérience en mathématiques, en génie, en statistique, en informatique ou dans d'autres études quantitatives
Anglais courant
Une expérience préalable sur AWS est un gros plus

*****Une session de recrutement en présence du groupe SWILE aura lieu à Montpellier le mercredi 26 janvier
pour y participer merci de candidater à cette offre directement vous recevrez un mail de confirmation.*****
"
